UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Eastern Asia,2024,39522366,21.96,867911.16,39.28,28.07,71.92,24.73,55.7,14.38,0.58,11626.09,48.28
South-Eastern Asia,2023,10951456,22.41,245422.13,40.09,5.21,39.8,32.14,16.86,6.14,0.532,42780.29,67.66
Latin America and the Caribbean,2023,159620848,15.78,2518816.98,64.22,24.9,41.72,29.64,29.3,8.21,0.988,61396.68,79.49
Sub-Saharan Africa,2021,121181579,14.06,1703813,44.49,20.67,31.23,22.79,63.07,33.05,0.502,50104.26,24.6
Southern Asia,2020,21553486,15.92,343131.5,59.66,54.94,10.89,24.86,20.13,15.29,0.752,38730.92,81.21
Western Asia,2023,141458035,17.26,2441565.68,32.42,11.95,41.7,30.44,61.9,17.86,0.669,,66.87
Central Asia,2022,214412856,16.84,3610712.5,19.03,8.05,89.11,15.41,37.13,7.43,0.521,13227.95,91.28
Sub-Saharan Africa,2022,244910849,2.45,600031.58,52.55,30.59,15.9,14.59,50.21,11.16,0.692,44573.47,47.28
Northern Africa,2021,216317406,25.94,5611273.51,61.91,26.15,23.13,21.41,40.7,19.49,0.004,51222.79,19.78
Northern America,2024,185799140,21.37,3970527.62,17.09,8.62,24.09,20.3,38.35,23.33,0.106,10906.15,41.72
Central Asia,2020,158042634,7.41,1171095.92,28.5,23.86,55.95,30.34,57.59,30.4,0.418,5185.58,
Western Asia,2020,91879064,18.2,1672198.96,,3.12,98.83,37.16,18.5,10.24,0.52,72201.95,96.64
Southern Asia,2023,33392899,22.03,735645.56,46.41,18.28,63.28,36.19,15.91,34.56,0.349,66183.31,20.43
Europe,2024,23992213,7.73,185459.81,41.05,23.84,9.33,18.91,65.29,19.92,0.457,,76.57
Western Asia,2023,209645371,13.67,2865852.22,25.47,11.57,80.74,34.33,49.6,34.74,0.405,15618.81,55.52
Sub-Saharan Africa,2023,11177546,21.5,240317.24,40.23,19.31,76.51,26.97,10.52,20.39,0.815,27296.78,91.99
Oceania,2022,4079492,6.4,26108.75,32.09,15.82,68.38,16.18,45.07,32.36,0.08,39089.05,72.98
Oceania,2021,82898510,13.88,1150631.32,,8.74,20.14,34.35,35.42,28.28,0.007,44351.62,92.35
Northern America,2020,85505461,13.87,1185960.74,28.06,9.62,69.07,34.99,43.51,16.33,0.674,31622.61,73.27
Sub-Saharan Africa,2024,122107966,17.19,2099035.94,10.34,7.8,99.61,33.08,42.3,3.59,0.7,53062.85,19.08
Northern America,2024,N/A,7.31,1335347.8,29.42,12.09,67.95,11.61,57.43,21.1,0.655,59938.95,59.46
Southern Asia,2022,201388051,29.69,5979211.23,23.93,22.19,91.84,12.74,35.14,17.58,0.314,4263.49,35.06
Northern America,2024,142861225,14.49,2070059.15,8.27,4.58,40.94,21.18,27.1,28.44,0.528,44529.26,24.73
Central Asia,2023,149626558,29.67,4439419.98,35.01,6.11,46.19,38.89,27.22,27.96,0.799,17055.74,51.8
Sub-Saharan Africa,2022,121694048,10.54,1282655.27,76.78,45.94,71.25,30.51,66.53,31.96,0.051,30735.08,
Sub-Saharan Africa,2022,33528973,8.62,289019.75,34.94,9.84,10.54,16.97,24.54,22.21,0.281,29301,15.49
Northern Africa,2023,229574419,6.71,1540444.35,42.97,24.94,43.61,18.9,30.58,29.33,0.652,76334.81,54.59
Eastern Asia,2021,17722667,3.29,58307.57,61.88,60.18,87.17,31.3,67.3,15.04,0.873,,92.17
Latin America and the Caribbean,2022,103124250,29.94,3087540.04,56.02,6.61,14.61,35.17,23.02,18.88,0.08,45524.57,45.09
Europe,2024,25539881,26.5,676806.85,34.09,19.79,56.81,16.76,42.19,23.13,0.298,33780.84,52.61
Oceania,2021,247319230,15.76,3897751.06,5.07,4.84,33.94,28.92,26.5,31.11,0.729,7998.5,
Europe ,2023,24264408,12.43,301606.59,73.57,4.88,92.01,30.43,63.77,21.26,0.812,,44.01
Northern America,2024,64884348,13.21,857122.24,150,16.35,10.4,23.98,47.12,10.42,0.892,38546.39,38.44
South-Eastern Asia,2021,188002340,11.16,2098106.11,75.58,62.68,70.96,38.78,32.47,8.58,0.117,24433.74,27.06
South-Eastern Asia,2022,128500826,17.18,2207644.19,51.4,6.51,67.94,31.61,40.91,17.67,0.083,46658.2,67.2
